employee_id,fullname,rating,iq,gtq,growth_drive_and_resilience,curiosity_and_experimentation,insight_and_decision_sharpness,quality_delivery_discipline,synergy_and_team_orientation
EMP100288,Budi Rachman Ramadhan,2.0,82.0,21.0,3.0,1.0,2.0,2.0,3.0
EMP100289,Teguh Hasibuan,4.0,88.0,25.0,5.0,5.0,4.0,4.0,5.0
EMP100290,Ahmad Mahardika Firmansyah,,85.0,32.0,4.0,3.0,,3.0,4.0
EMP100291,Cahyo Pratomo,3.0,123.0,26.0,4.0,3.0,3.0,3.0,
EMP100292,Wahyu Halim Zulfikar,2.0,92.0,25.0,2.0,2.0,2.0,2.0,
EMP100293,Sari Fadillah Mahendra,3.0,82.0,27.0,,2.0,3.0,3.0,3.0
EMP100294,Fitri Dharma Hidayat,3.0,124.0,25.0,3.0,2.0,4.0,3.0,
EMP100295,Hadi Dharma Siregar,3.0,102.0,30.0,2.0,,4.0,3.0,3.0
EMP100296,Bayu Nugroho,4.0,84.0,24.0,4.0,4.0,4.0,4.0,5.0
EMP100297,Yoga Salsabila,1.0,135.0,29.0,2.0,2.0,2.0,1.0,2.0
EMP100298,Yuni Iqbal Saputra,3.0,81.0,29.0,4.0,3.0,3.0,3.0,3.0
EMP100299,Fajar Rachman Ridwan,,125.0,23.0,3.0,3.0,2.0,3.0,2.0
EMP100300,Rama Lukman,4.0,126.0,31.0,4.0,4.0,4.0,4.0,5.0
EMP100301,Rama Zulfikar,2.0,123.0,23.0,2.0,3.0,1.0,2.0,2.0
EMP100302,Rizky Ginting,3.0,130.0,26.0,4.0,,2.0,,2.0
EMP100303,Bayu Wijaya Maulida,3.0,94.0,23.0,4.0,3.0,3.0,3.0,3.0
EMP100304,Valdo Halim,,,,2.0,2.0,3.0,,2.0
EMP100305,Indra Herlambang,3.0,113.0,25.0,3.0,3.0,3.0,4.0,
EMP100306,Dinda Kusuma Ananda,3.0,,39.0,4.0,3.0,3.0,2.0,2.0
EMP100307,Sari Indrawan,3.0,,,3.0,3.0,,2.0,3.0
EMP100308,Nugroho Subekti,4.0,105.0,24.0,4.0,,3.0,3.0,4.0
EMP100309,Valdo Ridwan,4.0,120.0,28.0,4.0,4.0,3.0,4.0,4.0
EMP100310,Rendra Pradana,4.0,91.0,31.0,4.0,,5.0,4.0,4.0
EMP100311,Maya Pramudita Zulfikar,2.0,102.0,23.0,1.0,2.0,2.0,2.0,1.0
EMP100312,Maya Lestari,2.0,,,1.0,1.0,2.0,1.0,2.0
EMP100313,Budi Qolbi Hidayat,5.0,105.0,30.0,5.0,5.0,5.0,5.0,5.0
EMP100314,Yuni Herlambang,1.0,116.0,22.0,1.0,1.0,1.0,1.0,1.0
EMP100315,Rama Kusuma,3.0,99.0,28.0,4.0,3.0,3.0,4.0,
EMP100316,Joko Siregar,3.0,82.0,28.0,,3.0,3.0,3.0,4.0
EMP100317,Budi Herlambang,3.0,95.0,35.0,2.0,3.0,4.0,4.0,3.0
EMP100318,Rafa Lestari Fauziah,3.0,,,2.0,2.0,4.0,3.0,4.0
EMP100319,Valdo Anugrah Ramadhan,5.0,139.0,32.0,5.0,5.0,,5.0,5.0
EMP100320,Budi Hartanto,1.0,99.0,22.0,1.0,2.0,1.0,,1.0
EMP100321,Wulan Iqbal Herlambang,3.0,136.0,31.0,3.0,2.0,3.0,4.0,3.0
EMP100322,Rizka Pramudita Suharto,4.0,85.0,25.0,4.0,4.0,3.0,3.0,4.0
EMP100323,Umar Indrawan,3.0,92.0,32.0,2.0,3.0,3.0,2.0,4.0
EMP100324,Intan Halim,,108.0,28.0,3.0,2.0,3.0,,3.0
EMP100325,Wahyu Kusuma Hartanto,2.0,,35.0,2.0,1.0,1.0,1.0,2.0
EMP100326,Rizka Qolbi Mahendra,5.0,92.0,36.0,5.0,5.0,4.0,5.0,5.0
EMP100327,Vania Rachman Utami,,122.0,33.0,5.0,5.0,,5.0,5.0
EMP100328,Tania Yudhistira Simanjuntak,3.0,130.0,38.0,2.0,3.0,4.0,4.0,
EMP100329,Galih Iqbal Pamungkas,3.0,92.0,19.0,3.0,2.0,3.0,3.0,
EMP100330,Kartika Gunawan,4.0,,36.0,4.0,,5.0,4.0,5.0
EMP100331,Julia Tri Hartanto,5.0,127.0,28.0,4.0,4.0,4.0,4.0,5.0
EMP100332,Dewi Maulida,3.0,95.0,25.0,,4.0,3.0,4.0,3.0
EMP100333,Mahendra Putra,5.0,92.0,24.0,4.0,4.0,5.0,5.0,4.0
EMP100334,Sari Maulana,3.0,,,2.0,4.0,3.0,3.0,4.0
EMP100335,Mahendra Pramudita Purnama,3.0,119.0,37.0,3.0,3.0,4.0,,4.0
EMP100336,Evi Pratomo,3.0,117.0,30.0,3.0,4.0,4.0,4.0,3.0
EMP100337,Anisa Situmorang,,85.0,22.0,2.0,3.0,3.0,3.0,4.0
EMP100338,Galih Halim,,,,5.0,4.0,4.0,4.0,3.0
EMP100339,Rafa Pramudita Purnama,3.0,81.0,27.0,3.0,3.0,3.0,3.0,4.0
EMP100340,Rifqi Ginting,,,,3.0,4.0,3.0,2.0,2.0
EMP100341,Lestari Handayani,3.0,136.0,22.0,2.0,3.0,3.0,3.0,3.0
EMP100342,Luthfi Utama Pradana,2.0,88.0,33.0,3.0,,2.0,1.0,2.0
EMP100343,Adit Tamba,3.0,,28.0,3.0,2.0,4.0,3.0,3.0
EMP100344,Iman Wijaya Ginting,3.0,,,4.0,3.0,3.0,3.0,3.0
EMP100345,Arif Jatmiko Wibowo,3.0,139.0,26.0,1.0,1.0,1.0,1.0,1.0
EMP100346,Ari Ridwan,1.0,94.0,23.0,1.0,1.0,1.0,2.0,
EMP100347,Rizky Nabila Fauziah,3.0,,,4.0,3.0,4.0,2.0,2.0
EMP100348,Indra Ananda,,95.0,26.0,3.0,3.0,3.0,4.0,3.0
EMP100349,Dwi Ridwan,3.0,,,3.0,3.0,,3.0,3.0
EMP100350,Galih Ganesha Fauziah,,,,3.0,3.0,4.0,3.0,4.0
EMP100351,Cahyo Jatmiko Wibowo,3.0,139.0,31.0,3.0,4.0,2.0,3.0,2.0
EMP100352,Gita Wijaya Lestari,3.0,85.0,29.0,3.0,3.0,,3.0,3.0
EMP100353,Wahyu Kusuma,3.0,89.0,41.0,4.0,3.0,3.0,3.0,3.0
EMP100354,Wahyu Setiawan,2.0,,,2.0,,3.0,,1.0
EMP100355,Dimas Erlangga Yulianto,4.0,103.0,26.0,3.0,4.0,3.0,4.0,4.0
EMP100356,Adi Baskara Subekti,4.0,,,4.0,5.0,4.0,4.0,4.0
EMP100357,Adit Siregar,4.0,119.0,30.0,3.0,3.0,,4.0,4.0
EMP100358,Rizki Handayani,4.0,127.0,25.0,5.0,,5.0,3.0,3.0
EMP100359,Vania Baskara Pratama,2.0,91.0,22.0,3.0,3.0,2.0,3.0,2.0
EMP100360,Rizka Rachman Wijaya,5.0,110.0,26.0,4.0,5.0,5.0,5.0,4.0
EMP100361,Eko Baskara Ananda,3.0,83.0,34.0,3.0,2.0,3.0,3.0,3.0
EMP100362,Adit Ginting,5.0,,29.0,4.0,5.0,5.0,5.0,4.0
EMP100363,Zahra Salsabila,4.0,128.0,27.0,3.0,5.0,4.0,5.0,4.0
EMP100364,Utami Kusuma,2.0,97.0,31.0,2.0,2.0,2.0,1.0,3.0
EMP100365,Maya Syahputra,4.0,111.0,27.0,4.0,3.0,4.0,4.0,5.0
EMP100366,Zaki Qolbi Tamba,3.0,93.0,22.0,3.0,2.0,3.0,3.0,4.0
EMP100367,Utami Utama Maulana,6.0,119.0,27.0,3.0,2.0,3.0,4.0,2.0
EMP100368,Dewi Indrawan,3.0,119.0,21.0,4.0,4.0,3.0,2.0,4.0
EMP100369,Wahyu Halim,2.0,106.0,26.0,1.0,1.0,1.0,1.0,
EMP100370,Bayu Tamba,,83.0,25.0,5.0,5.0,5.0,5.0,5.0
EMP100371,Ahmad Yudhistira Pratama,2.0,137.0,15.0,3.0,2.0,1.0,2.0,2.0
EMP100372,Andi Baskara Pamungkas,2.0,128.0,28.0,2.0,1.0,2.0,2.0,2.0
EMP100373,Gita Lestari,3.0,136.0,32.0,3.0,4.0,4.0,4.0,4.0
EMP100374,Utami Tamba,4.0,,32.0,3.0,4.0,4.0,4.0,4.0
EMP100375,Intan Setiawan,3.0,100.0,17.0,3.0,3.0,3.0,3.0,
EMP100376,Evi Iqbal Syahputra,3.0,,,3.0,3.0,,3.0,6.0
EMP100377,Mahendra Pramudita Sinaga,3.0,94.0,31.0,2.0,4.0,3.0,3.0,2.0
EMP100378,Hana Halim,3.0,119.0,40.0,4.0,4.0,3.0,,2.0
EMP100379,Ayu Mahardika Simanjuntak,5.0,,,,,5.0,5.0,5.0
EMP100380,Evi Maulida,3.0,,,2.0,3.0,4.0,3.0,2.0
EMP100381,Cahyo Halim Siregar,1.0,107.0,19.0,1.0,1.0,1.0,1.0,2.0
EMP100382,Utami Erlangga Tamba,3.0,,,4.0,3.0,3.0,3.0,3.0
EMP100383,Eko Mahendra,,98.0,19.0,1.0,1.0,2.0,1.0,1.0
EMP100384,Dimas Saputra Utami,3.0,122.0,24.0,3.0,3.0,2.0,4.0,3.0
EMP100385,Hana Ananda,2.0,113.0,18.0,2.0,1.0,3.0,,2.0
EMP100386,Tania Santoso,4.0,140.0,34.0,4.0,,3.0,4.0,4.0
EMP100387,Ari Tri Hartanto,3.0,,27.0,3.0,3.0,2.0,,2.0
EMP100388,Rani Qolbi Zulfikar,3.0,140.0,27.0,2.0,3.0,3.0,4.0,
EMP100389,Fajar Pratama,3.0,,43.0,4.0,,3.0,3.0,3.0
EMP100390,Bayu Tri Simanjuntak,2.0,125.0,31.0,3.0,2.0,2.0,3.0,3.0
EMP100391,Rizka Adi Anggara,2.0,131.0,38.0,2.0,2.0,3.0,2.0,3.0
EMP100392,Tania Herlambang,3.0,110.0,18.0,2.0,3.0,3.0,3.0,3.0
EMP100393,Oktavia Ramadhan,2.0,120.0,28.0,3.0,3.0,2.0,2.0,2.0
EMP100394,Hadi Jatmiko Kurniawan,1.0,131.0,27.0,1.0,1.0,1.0,2.0,1.0
EMP100395,Joko Nabila Santoso,1.0,139.0,35.0,1.0,1.0,2.0,1.0,1.0
EMP100396,Zaki Anugrah Nugroho,3.0,138.0,32.0,3.0,3.0,3.0,3.0,3.0
EMP100397,Yuni Iqbal Putra,2.0,,16.0,2.0,2.0,2.0,3.0,3.0
EMP100398,Joko Wijaya Wijaya,3.0,138.0,20.0,2.0,3.0,3.0,3.0,2.0
EMP100399,Zaki Ramadhan,,128.0,24.0,3.0,2.0,3.0,3.0,4.0
EMP100400,Luthfi Herlambang,,96.0,23.0,5.0,5.0,4.0,5.0,5.0
EMP100401,Dwi Wijaya Halim,5.0,,,5.0,4.0,5.0,5.0,
EMP100402,Fajar Candra Maulida,2.0,83.0,33.0,3.0,1.0,2.0,2.0,2.0
EMP100403,Prasetyo Lestari,3.0,104.0,32.0,2.0,3.0,3.0,4.0,3.0
EMP100404,Anisa Tri Anggara,3.0,94.0,21.0,,4.0,3.0,3.0,4.0
EMP100405,Teguh Erlangga Setiawan,3.0,127.0,34.0,3.0,3.0,3.0,2.0,3.0
EMP100406,Vania Lestari Subekti,,85.0,25.0,2.0,3.0,99.0,2.0,2.0
EMP100407,Arif Rachman Suharto,3.0,116.0,19.0,2.0,3.0,3.0,2.0,2.0
EMP100408,Rafa Anugrah Kusuma,2.0,80.0,26.0,1.0,,2.0,2.0,1.0
EMP100409,Rani Ginting,4.0,125.0,24.0,4.0,4.0,4.0,4.0,4.0
EMP100410,Adit Saputra Wijaya,4.0,,28.0,4.0,4.0,3.0,4.0,3.0
EMP100411,Rani Fauziah,2.0,115.0,30.0,3.0,2.0,2.0,1.0,2.0
EMP100412,Tania Syahputra,4.0,130.0,36.0,4.0,4.0,,4.0,3.0
EMP100413,Zahra Utama Pratomo,3.0,86.0,31.0,3.0,3.0,2.0,4.0,4.0
EMP100414,Citra Hasibuan,1.0,104.0,26.0,1.0,1.0,2.0,2.0,1.0
EMP100415,Hadi Lukman,3.0,86.0,19.0,3.0,2.0,3.0,,3.0
EMP100416,Cahyo Ganesha Handayani,3.0,139.0,24.0,3.0,3.0,3.0,3.0,3.0
EMP100417,Adi Situmorang,3.0,,,3.0,3.0,3.0,3.0,2.0
EMP100418,Oktavia Ganesha Fauziah,5.0,,,3.0,3.0,4.0,4.0,4.0
EMP100419,Lestari Hidayat,3.0,,,3.0,3.0,,4.0,3.0
EMP100420,Vania Hartanto,2.0,80.0,29.0,3.0,3.0,2.0,,2.0
EMP100421,Adit Anggara,3.0,85.0,22.0,3.0,3.0,3.0,2.0,2.0
EMP100422,Ari Handayani,1.0,103.0,28.0,1.0,1.0,1.0,1.0,1.0
EMP100423,Valdo Fauziah,4.0,,,4.0,4.0,5.0,5.0,5.0
EMP100424,Valdo Ramadhan,3.0,94.0,29.0,,,3.0,2.0,4.0
EMP100425,Novi Baskara Sinaga,1.0,83.0,28.0,1.0,1.0,2.0,1.0,1.0
EMP100426,Dimas Pamungkas,5.0,,,4.0,5.0,5.0,5.0,5.0
EMP100427,Dimas Adi Mahendra,3.0,,32.0,3.0,3.0,3.0,,
EMP100428,Umar Pamungkas,5.0,,,5.0,5.0,5.0,5.0,
EMP100429,Gita Candra Situmorang,,132.0,28.0,3.0,2.0,3.0,,3.0
EMP100430,Valdo Nabila Rohman,1.0,97.0,25.0,1.0,1.0,1.0,1.0,1.0
EMP100431,Novi Wijaya Putra,4.0,140.0,24.0,,0.0,4.0,4.0,5.0
EMP100432,Rani Fadillah Rahmawati,3.0,,,3.0,3.0,4.0,2.0,3.0
EMP100433,Dian Ridwan,2.0,91.0,28.0,,3.0,2.0,1.0,2.0
EMP100434,Hadi Wibowo,,137.0,33.0,5.0,4.0,4.0,5.0,5.0
EMP100435,Intan Syahputra,2.0,121.0,21.0,2.0,1.0,3.0,2.0,2.0
EMP100436,Zahra Wijaya,3.0,97.0,21.0,3.0,3.0,3.0,,3.0
EMP100437,Indra Hartanto,4.0,,,5.0,4.0,5.0,4.0,4.0
EMP100438,Bayu Yudhistira Santoso,3.0,90.0,38.0,3.0,3.0,3.0,4.0,3.0
EMP100439,Intan Tamba,2.0,83.0,30.0,2.0,3.0,1.0,2.0,2.0
EMP100440,Cahyo Utama Sinaga,4.0,119.0,40.0,4.0,4.0,4.0,4.0,4.0
EMP100441,Kartika Herlambang,4.0,118.0,34.0,4.0,4.0,4.0,5.0,4.0
EMP100442,Andi Qolbi Hidayat,2.0,138.0,35.0,2.0,2.0,1.0,2.0,2.0
EMP100443,Bayu Qolbi Hidayat,3.0,117.0,26.0,3.0,,2.0,3.0,4.0
EMP100444,Dimas Purnama,4.0,114.0,19.0,4.0,4.0,4.0,5.0,4.0
EMP100445,Kurnia Wijaya,1.0,97.0,18.0,1.0,2.0,1.0,2.0,1.0
EMP100446,Rifqi Iqbal Ginting,3.0,112.0,32.0,3.0,2.0,3.0,3.0,2.0
EMP100447,Rendra Zulfikar Lestari,4.0,81.0,33.0,,4.0,4.0,,3.0
EMP100448,Gita Jatmiko Santoso,2.0,,,3.0,3.0,2.0,1.0,2.0
EMP100449,Ari Ramadhan,3.0,109.0,32.0,3.0,3.0,2.0,2.0,3.0
EMP100450,Indra Lestari,3.0,134.0,28.0,4.0,3.0,4.0,4.0,4.0
EMP100451,Fitri Qolbi Simanjuntak,3.0,85.0,24.0,2.0,3.0,3.0,3.0,3.0
EMP100452,Zahra Zulfikar Ramadhan,3.0,118.0,26.0,3.0,3.0,2.0,4.0,3.0
EMP100453,Yuni Subekti,3.0,112.0,18.0,2.0,4.0,3.0,2.0,3.0
EMP100454,Nadia Iqbal Maulana,,132.0,20.0,3.0,2.0,3.0,3.0,3.0
EMP100455,Zaki Siregar,2.0,,,3.0,1.0,2.0,2.0,
EMP100456,Rama Gunawan,2.0,,,1.0,2.0,2.0,2.0,1.0
EMP100457,Nurlita Maulana,3.0,117.0,26.0,3.0,4.0,6.0,3.0,3.0
EMP100458,Fajar Mahardika Handayani,3.0,114.0,23.0,3.0,3.0,3.0,2.0,4.0
EMP100459,Zahra Syahputra,3.0,85.0,22.0,3.0,4.0,3.0,3.0,3.0
EMP100460,Joko Sinaga,5.0,89.0,29.0,4.0,5.0,4.0,5.0,5.0
EMP100461,Novi Suharto,4.0,87.0,35.0,1.0,3.0,2.0,2.0,1.0
EMP100462,Lestari Anggara,5.0,85.0,23.0,5.0,5.0,5.0,5.0,5.0
EMP100463,Arif Kurniawan,4.0,123.0,35.0,4.0,3.0,4.0,3.0,3.0
EMP100464,Anisa Erlangga Lukman,3.0,132.0,38.0,3.0,3.0,,4.0,4.0
EMP100465,Eko Pamungkas,5.0,119.0,28.0,5.0,5.0,,4.0,5.0
EMP100466,Gita Nabila Indrawan,5.0,95.0,35.0,5.0,4.0,4.0,4.0,4.0
EMP100467,Lestari Mahardika Suharto,,115.0,23.0,,2.0,2.0,1.0,2.0
EMP100468,Dinda Erlangga Indrawan,2.0,,12.0,3.0,1.0,2.0,3.0,
EMP100469,Sari Suharto,2.0,82.0,36.0,2.0,3.0,2.0,,2.0
EMP100470,Wulan Saputra Santoso,2.0,,,,3.0,2.0,2.0,2.0
EMP100471,Indra Zulfikar Rahmawati,3.0,123.0,36.0,3.0,3.0,3.0,4.0,4.0
EMP100472,Rani Zulfikar Ginting,,,,4.0,,,4.0,4.0
EMP100473,Zaki Zulfikar Salsabila,4.0,132.0,22.0,5.0,3.0,4.0,3.0,4.0
EMP100474,Vania Iqbal Fauziah,2.0,103.0,27.0,2.0,2.0,2.0,2.0,2.0
EMP100475,Rizky Setiawan,5.0,94.0,26.0,4.0,5.0,5.0,5.0,5.0
EMP100476,Sari Hartanto,,105.0,28.0,5.0,5.0,5.0,5.0,5.0
EMP100477,Gita Wibowo,4.0,,20.0,4.0,5.0,5.0,3.0,5.0
EMP100478,Nurlita Kusuma Pratama,,89.0,24.0,2.0,4.0,,2.0,
EMP100479,Rendra Yudhistira Herlambang,2.0,115.0,25.0,2.0,2.0,2.0,1.0,2.0
EMP100480,Dimas Maulana,,,,5.0,5.0,,5.0,5.0
EMP100481,Rama Salsabila,4.0,100.0,29.0,3.0,3.0,4.0,4.0,5.0
EMP100482,Rani Rachman Setiawan,1.0,120.0,14.0,2.0,2.0,1.0,1.0,1.0
EMP100483,Intan Nabila Pamungkas,3.0,,,3.0,4.0,2.0,3.0,3.0
EMP100484,Citra Nabila Handayani,4.0,,,5.0,,5.0,,4.0
EMP100485,Galih Aji Saputra,5.0,111.0,18.0,5.0,4.0,5.0,5.0,5.0
EMP100486,Joko Simanjuntak,4.0,110.0,28.0,4.0,5.0,,4.0,4.0
EMP100487,Joko Lukman,2.0,106.0,25.0,1.0,2.0,2.0,2.0,1.0
EMP100488,Luthfi Pratama,3.0,126.0,44.0,4.0,3.0,4.0,2.0,3.0
EMP100489,Vania Adi Setiawan,,124.0,21.0,,3.0,5.0,4.0,4.0
EMP100490,Cahyo Suharto,2.0,80.0,31.0,3.0,2.0,2.0,2.0,2.0
EMP100491,Gita Anggara,2.0,89.0,26.0,2.0,,1.0,2.0,2.0
EMP100492,Ahmad Lestari Handayani,4.0,90.0,31.0,4.0,4.0,,4.0,4.0
EMP100493,Nurlita Wijaya,2.0,112.0,25.0,2.0,2.0,2.0,2.0,2.0
EMP100494,Dwi Mahardika Anggara,4.0,95.0,24.0,4.0,4.0,,5.0,4.0
EMP100495,Gita Ganesha Zulfikar,2.0,81.0,27.0,1.0,2.0,2.0,2.0,2.0
EMP100496,Intan Wijaya Pratomo,3.0,,,3.0,,,3.0,3.0
EMP100497,Oka Syahputra,,87.0,31.0,3.0,3.0,4.0,,4.0
EMP100498,Fitri Situmorang,,80.0,41.0,3.0,3.0,1.0,2.0,2.0
EMP100499,Adit Herlambang,,,,3.0,3.0,3.0,3.0,4.0
EMP100500,Yoga Mahardika Gunawan,3.0,117.0,27.0,3.0,3.0,2.0,3.0,3.0
EMP100501,Rifqi Rachman Santoso,3.0,122.0,25.0,2.0,3.0,3.0,2.0,3.0
EMP100502,Wahyu Hasibuan,4.0,81.0,13.0,4.0,4.0,4.0,4.0,4.0
EMP100503,Prasetyo Ganesha Ramadhan,4.0,86.0,40.0,4.0,4.0,3.0,4.0,4.0
EMP100504,Kartika Halim Ginting,1.0,113.0,23.0,,1.0,1.0,2.0,1.0
EMP100505,Intan Pramudita Maulida,3.0,98.0,32.0,3.0,2.0,,3.0,
EMP100506,Cahyo Iqbal Suharto,2.0,102.0,20.0,2.0,2.0,3.0,2.0,3.0
EMP100507,Dewi Rahmawati,4.0,81.0,32.0,4.0,4.0,4.0,3.0,4.0
EMP100508,Sari Nabila Halim,4.0,107.0,26.0,4.0,4.0,4.0,,4.0
EMP100509,Zaki Tri Lestari,4.0,85.0,22.0,3.0,3.0,4.0,3.0,4.0
EMP100510,Rizky Lestari Situmorang,4.0,82.0,23.0,3.0,4.0,4.0,4.0,4.0
EMP100511,Nugroho Saputra,3.0,135.0,31.0,3.0,2.0,3.0,3.0,3.0
EMP100512,Valdo Ginting,5.0,101.0,19.0,5.0,,5.0,5.0,5.0
EMP100513,Nabila Fadillah Setiawan,4.0,109.0,29.0,3.0,4.0,5.0,5.0,5.0
EMP100514,Fitri Saputra Yulianto,3.0,91.0,28.0,3.0,4.0,,4.0,2.0
EMP100515,Cahyo Handayani,,82.0,24.0,2.0,2.0,2.0,2.0,2.0
EMP100516,Yoga Nugroho,3.0,100.0,14.0,2.0,4.0,3.0,4.0,3.0
EMP100517,Rendra Wibowo,1.0,,,1.0,1.0,1.0,2.0,1.0
EMP100518,Hana Erlangga Gunawan,1.0,92.0,31.0,1.0,1.0,2.0,1.0,1.0
EMP100519,Teguh Indrawan,5.0,131.0,27.0,5.0,5.0,5.0,5.0,4.0
EMP100520,Rifqi Kusuma Wibowo,4.0,86.0,28.0,4.0,4.0,4.0,4.0,3.0
EMP100521,Nadia Gunawan,3.0,100.0,34.0,3.0,3.0,3.0,3.0,2.0
EMP100522,Nabila Yudhistira Salsabila,4.0,,,4.0,4.0,0.0,5.0,4.0
EMP100523,Indra Adi Hartanto,2.0,134.0,25.0,3.0,2.0,,2.0,3.0
EMP100524,Hadi Nugroho,5.0,94.0,25.0,5.0,4.0,5.0,5.0,5.0
EMP100525,Umar Fauziah,3.0,105.0,28.0,2.0,4.0,2.0,4.0,2.0
EMP100526,Kartika Maulana,4.0,96.0,29.0,4.0,5.0,4.0,4.0,3.0
EMP100527,Rendra Situmorang,3.0,133.0,35.0,4.0,3.0,3.0,3.0,2.0
EMP100528,Lestari Suharto,3.0,85.0,37.0,3.0,3.0,4.0,2.0,4.0
EMP100529,Anisa Lukman,3.0,108.0,24.0,4.0,3.0,3.0,3.0,2.0
EMP100530,Rizki Lestari Suharto,,,,3.0,5.0,4.0,4.0,4.0
EMP100531,Bella Erlangga Pratama,4.0,,27.0,3.0,,4.0,4.0,4.0
EMP100532,Umar Baskara Gunawan,3.0,,25.0,3.0,3.0,3.0,3.0,3.0
EMP100533,Fajar Ananda,3.0,,,2.0,3.0,4.0,3.0,3.0
EMP100534,Rama Kurniawan,3.0,103.0,17.0,3.0,3.0,3.0,3.0,4.0
EMP100535,Wahyu Nabila Saputra,,132.0,27.0,4.0,3.0,4.0,3.0,3.0
EMP100536,Eko Gunawan,5.0,121.0,19.0,5.0,5.0,5.0,5.0,5.0
EMP100537,Iman Yulianto,2.0,100.0,25.0,,2.0,,2.0,1.0
EMP100538,Maya Gunawan,4.0,126.0,33.0,4.0,3.0,4.0,4.0,5.0
EMP100539,Teguh Dharma Indrawan,4.0,94.0,40.0,4.0,4.0,4.0,4.0,4.0
EMP100540,Anisa Halim Ramadhan,1.0,106.0,26.0,1.0,1.0,1.0,1.0,1.0
EMP100541,Dinda Candra Pamungkas,4.0,115.0,22.0,4.0,4.0,4.0,4.0,
EMP100542,Ahmad Situmorang,3.0,131.0,26.0,3.0,3.0,3.0,3.0,3.0
EMP100543,Teguh Fadillah Ramadhan,4.0,85.0,41.0,3.0,3.0,5.0,3.0,
EMP100544,Citra Putra,,,,5.0,4.0,4.0,4.0,3.0
EMP100545,Adit Firmansyah,3.0,,,3.0,4.0,2.0,3.0,3.0
EMP100546,Nadia Saputra Kusuma,3.0,136.0,23.0,,2.0,3.0,3.0,3.0
EMP100547,Nabila Anggara,4.0,134.0,27.0,4.0,4.0,5.0,3.0,4.0
EMP100548,Fajar Suharto,5.0,,,5.0,,,4.0,5.0
EMP100549,Lestari Aji Subekti,2.0,,,2.0,2.0,2.0,2.0,2.0
EMP100550,Hadi Hartanto,5.0,109.0,20.0,,5.0,5.0,5.0,5.0
EMP100551,Mahendra Aji Permadi,2.0,109.0,35.0,3.0,2.0,3.0,2.0,
EMP100552,Vania Syahputra,1.0,137.0,27.0,1.0,1.0,1.0,2.0,1.0
EMP100553,Lestari Kurniawan,3.0,107.0,29.0,3.0,3.0,,4.0,3.0
EMP100554,Intan Saputra,5.0,,,5.0,5.0,4.0,5.0,5.0
EMP100555,Rani Anugrah Ridwan,3.0,99.0,25.0,4.0,3.0,4.0,2.0,
EMP100556,Hadi Rohman,3.0,107.0,30.0,2.0,3.0,3.0,3.0,4.0
EMP100557,Rizka Subekti,3.0,102.0,28.0,4.0,3.0,3.0,2.0,2.0
EMP100558,Joko Kurniawan,,,29.0,1.0,1.0,1.0,1.0,
EMP100559,Ayunda Anggara,,133.0,22.0,5.0,5.0,4.0,4.0,5.0
EMP100560,Adit Zulfikar Hidayat,,137.0,16.0,4.0,5.0,4.0,,4.0
EMP100561,Valdo Santoso,4.0,82.0,29.0,3.0,3.0,5.0,4.0,4.0
EMP100562,Utami Suharto,3.0,89.0,26.0,3.0,2.0,3.0,2.0,4.0
EMP100563,Dinda Maulida,2.0,105.0,33.0,3.0,3.0,2.0,2.0,2.0
EMP100564,Maya Candra Lukman,3.0,104.0,16.0,3.0,3.0,3.0,2.0,3.0
EMP100565,Anisa Pramudita Maulana,2.0,119.0,29.0,3.0,2.0,3.0,1.0,1.0
EMP100566,Rendra Setiawan,3.0,,,3.0,3.0,3.0,3.0,3.0
EMP100567,Nurlita Ananda,3.0,87.0,22.0,3.0,2.0,4.0,3.0,4.0
EMP100568,Hana Dharma Gunawan,4.0,96.0,24.0,,5.0,4.0,4.0,5.0
EMP100569,Zaki Anggara,5.0,85.0,34.0,2.0,3.0,3.0,3.0,3.0
EMP100570,Dewi Mahardika Purnama,3.0,,,,3.0,2.0,2.0,3.0
EMP100571,Yuni Setiawan,5.0,139.0,39.0,5.0,5.0,4.0,5.0,5.0
EMP100572,Rama Pradana,2.0,135.0,18.0,3.0,2.0,2.0,1.0,2.0
EMP100573,Arif Pramudita Syahputra,2.0,135.0,22.0,2.0,2.0,2.0,3.0,3.0
EMP100574,Kartika Putra,,116.0,33.0,5.0,5.0,4.0,5.0,4.0
EMP100575,Prasetyo Handayani,3.0,108.0,31.0,2.0,2.0,2.0,3.0,3.0
EMP100576,Andi Wijaya Kusuma,4.0,99.0,37.0,3.0,4.0,,4.0,3.0
EMP100577,Umar Anugrah Hidayat,2.0,,30.0,3.0,1.0,2.0,2.0,2.0
EMP100578,Teguh Anggara,4.0,136.0,26.0,,,5.0,4.0,4.0
EMP100579,Yoga Sinaga,3.0,130.0,29.0,4.0,2.0,2.0,3.0,4.0
EMP100580,Adi Lukman,1.0,97.0,37.0,2.0,1.0,1.0,1.0,1.0
EMP100581,Wahyu Dharma Santoso,2.0,104.0,21.0,,,2.0,,2.0
EMP100582,Wulan Nabila Fauziah,3.0,104.0,34.0,3.0,3.0,3.0,2.0,2.0
EMP100583,Dinda Zulfikar Herlambang,3.0,115.0,19.0,2.0,3.0,4.0,3.0,3.0
